subj,word,assoc_i,sex_port,sex_ger,sex,language,rating
9,7,1,f,m,f,por,-5
9,7,2,f,m,f,por,1
9,7,3,f,m,f,por,-3
9,8,1,f,m,f,por,-3
9,8,2,f,m,f,por,1
9,8,3,f,m,f,por,5
9,9,1,m,f,m,por,-1
9,9,2,m,f,m,por,1
9,9,3,m,f,m,por,-3
9,10,1,f,m,f,por,1
9,10,2,f,m,f,por,3
9,10,3,f,m,f,por,-1
9,11,1,f,m,f,por,-3
9,11,2,f,m,f,por,3
9,11,3,f,m,f,por,-1
9,12,1,m,f,m,por,1
9,12,2,m,f,m,por,-1
9,12,3,m,f,m,por,-3
9,13,1,m,f,m,por,-1
9,13,2,m,f,m,por,-5
9,13,3,m,f,m,por,-1
9,14,1,f,m,f,por,1
9,14,2,f,m,f,por,5
9,14,3,f,m,f,por,-5
9,15,1,m,f,m,por,-1
9,15,2,m,f,m,por,-3
9,15,3,m,f,m,por,-3
9,16,1,f,m,f,por,3
9,16,2,f,m,f,por,-3
9,16,3,f,m,f,por,3
9,17,1,f,m,f,por,-3
9,17,2,f,m,f,por,-5
9,17,3,f,m,f,por,1
9,18,1,f,m,f,por,5
9,18,2,f,m,f,por,1
9,18,3,f,m,f,por,1
9,19,1,f,m,f,por,-5
9,19,2,f,m,f,por,5
9,19,3,f,m,f,por,1
9,20,1,f,m,f,por,-1
9,20,2,f,m,f,por,-5
9,20,3,f,m,f,por,1
9,21,1,m,f,m,por,-5
9,21,2,m,f,m,por,-5
9,21,3,m,f,m,por,-1
9,22,1,f,m,f,por,1
9,22,2,f,m,f,por,1
9,22,3,f,m,f,por,1
9,23,1,m,f,m,por,5
9,23,2,m,f,m,por,3
9,23,3,m,f,m,por,3
9,24,1,f,m,f,por,1
9,24,2,f,m,f,por,-5
9,24,3,f,m,f,por,-5
10,1,1,f,m,f,por,0
10,1,2,f,m,f,por,5
10,1,3,f,m,f,por,1
10,2,1,m,f,m,por,-3
10,2,2,m,f,m,por,3
10,2,3,m,f,m,por,0
10,3,1,m,f,m,por,-1
10,3,2,m,f,m,por,-5
10,3,3,m,f,m,por,1
10,4,1,m,f,m,por,5
10,4,2,m,f,m,por,-1
10,4,3,m,f,m,por,-3
10,5,1,f,m,f,por,1
10,5,2,f,m,f,por,1
10,5,3,f,m,f,por,3
10,6,1,m,f,m,por,-3
10,6,2,m,f,m,por,-3
10,6,3,m,f,m,por,-5
10,7,1,f,m,f,por,-5
10,7,2,f,m,f,por,-5
10,7,3,f,m,f,por,3
10,8,1,f,m,f,por,-3
10,8,2,f,m,f,por,5
10,8,3,f,m,f,por,-3
10,9,1,m,f,m,por,-3
10,9,2,m,f,m,por,-3
10,9,3,m,f,m,por,1
10,10,1,f,m,f,por,3
10,10,2,f,m,f,por,-3
10,10,3,f,m,f,por,5
10,11,1,f,m,f,por,3
10,11,2,f,m,f,por,-5
10,11,3,f,m,f,por,1
10,12,1,m,f,m,por,-3
10,12,2,m,f,m,por,1
10,12,3,m,f,m,por,1
10,13,1,m,f,m,por,-1
10,13,2,m,f,m,por,-3
10,13,3,m,f,m,por,-1
10,14,1,f,m,f,por,3
10,14,2,f,m,f,por,3
10,14,3,f,m,f,por,5
10,15,1,m,f,m,por,-5
10,15,2,m,f,m,por,-1
10,15,3,m,f,m,por,-1
10,16,1,f,m,f,por,-3
10,16,2,f,m,f,por,1
10,16,3,f,m,f,por,0
10,17,1,f,m,f,por,3
10,17,2,f,m,f,por,-5
10,17,3,f,m,f,por,-1
10,18,1,f,m,f,por,5
10,18,2,f,m,f,por,5
10,18,3,f,m,f,por,-1
10,19,1,f,m,f,por,-1
10,19,2,f,m,f,por,-3
10,19,3,f,m,f,por,-3
10,20,1,f,m,f,por,1
10,20,2,f,m,f,por,3
10,20,3,f,m,f,por,1
10,21,1,m,f,m,por,-5
10,21,2,m,f,m,por,-1
10,21,3,m,f,m,por,-3
10,22,1,f,m,f,por,3
10,22,2,f,m,f,por,-5
10,22,3,f,m,f,por,0
10,23,1,m,f,m,por,3
